,RoundIndex,VoterID,Util1,Util2,Util3,NumVotes,NumberOfCandidates,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref2_pos,Pos2_pref,Pref1_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
3952,4704,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,275,366,365,0,2,19,1,3,365,275,366,366,365.0,275,1.0,90.0,91,90,-91,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,91,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3953,4706,A13V13Y2DJGFT4,20,10,0,1007,3,2,3,1,301,371,334,20,2,2,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
3954,4707,LNDgIjJKLftihbr,20,10,0,1007,3,3,2,1,215,565,226,10,2,21,1,2,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
3955,4708,LNDgIjJKLftihbr,20,10,0,1007,3,1,2,3,318,353,335,10,2,22,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
3956,4710,LNDgIjJKLftihbr,20,10,0,1007,3,3,1,2,325,341,340,0,2,24,1,3,340,325,341,341,340.0,325,1.0,15.0,16,15,-16,-1,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,1,16,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3957,4713,QR3MG0VBfFBzRFh,20,10,0,1007,3,3,1,2,333,338,335,0,2,5,1,3,335,333,338,338,335.0,333,3.0,2.0,5,2,-5,-3,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,3,5,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3958,4714,ANWWLIPXD3WU,20,10,-2,1006,3,1,3,2,334,336,335,-2,2,8,1,3,334,335,336,336,335.0,334,1.0,1.0,2,-1,-1,-2,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,2,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3959,4716,A4LKVXX2513LO,20,10,0,1007,3,1,3,2,329,347,330,0,1,2,1,1,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3960,4717,A4LKVXX2513LO,20,10,0,1007,3,3,2,1,313,365,328,10,3,3,1,1,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
3961,4718,A4LKVXX2513LO,20,10,0,1007,3,1,2,3,215,565,226,10,2,4,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,1.0,3.0,3.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
3962,4719,A4LKVXX2513LO,20,10,0,1007,3,2,1,3,290,409,307,20,2,5,1,1,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,3.0,3.0,1.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
3963,4720,A4LKVXX2513LO,20,10,0,1007,3,2,3,1,301,371,334,20,2,6,1,1,371,334,301,371,334.0,301,37.0,33.0,70,37,33,70,3.0,1.0,2.0,2.0,1.0,3.0,1,TRT,0,37,70,-1.0,-1.0,-2.0,0.0,-1.0,-2.0
3964,4721,A4LKVXX2513LO,20,10,0,1007,3,3,2,1,318,353,335,10,3,7,1,1,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,1.0,1.0,2.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
3965,4722,A4LKVXX2513LO,20,10,0,1007,3,3,1,2,329,347,330,0,3,8,1,1,330,329,347,347,330.0,329,17.0,1.0,18,1,-18,-17,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,17,18,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3966,4723,A4LKVXX2513LO,20,10,0,1007,3,1,3,2,269,378,359,0,1,9,1,1,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
3967,4724,A4LKVXX2513LO,20,10,0,1007,3,3,1,2,274,368,364,0,3,10,1,1,364,274,368,368,364.0,274,4.0,90.0,94,90,-94,-4,1.0,3.0,3.0,1.0,2.0,2.0,4,SLB,4,94,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
3968,4725,A4LKVXX2513LO,20,10,0,1007,3,1,3,2,325,341,340,0,2,11,1,3,325,340,341,341,340.0,325,1.0,15.0,16,-15,-1,-16,1.0,3.0,2.0,2.0,3.0,1.0,6,CMP,16,1,0,1.0,1.0,2.0,-2.0,-1.0,0.0
