,RoundIndex,VoterID,Util1,Util2,Util3,NumberOfCandidates,NumVotes,Pref1,Pref2,Pref3,VotesCand1PreVote,VotesCand2PreVote,VotesCand3PreVote,PointsPreVote,Vote,GameIndexInSession,SessionIDX,Action,VotesPref1PreVote,VotesPref2PreVote,VotesPref3PreVote,VotesLeader_poll,VotesRunnerup_poll,VotesThird_poll,GAP12_poll,GAP23_poll,GAP13_poll,GAP12_pref_poll,GAP23_pref_poll,GAP13_pref_poll,Pref3_pos,Pos1_pref,Pref1_pos,Pos2_pref,Pref2_pos,Pos3_pref,Scenario,Scenario_type,GAPL1_Pref_poll,GAPL2_Pref_poll,GAPL3_Pref_poll,Pos12,Pos23,Pos13,PosL1,PosL2,PosL3
4229,10591,A28TIENUWLMMIP,20,10,0,3,1007,1,3,2,323,343,340,0,1,21,1,1,323,340,343,343,340.0,323,3.0,17.0,20,-17,-3,-20,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,20,3,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4230,10592,A1CY01G7686ORZ,20,10,0,3,1007,3,2,1,318,353,335,10,2,15,1,2,335,353,318,353,335.0,318,18.0,17.0,35,-18,35,17,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,18,0,35,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4231,10593,A3779AAVHVT6EQ,20,10,0,3,1007,1,2,3,323,343,340,10,2,27,1,2,323,343,340,343,340.0,323,3.0,17.0,20,-20,3,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,20,0,3,2.0,-1.0,1.0,-2.0,0.0,-1.0
4232,10594,AHTJJ0KDJ6ZIA,20,10,0,3,1007,3,1,2,318,353,335,0,3,14,1,1,335,318,353,353,335.0,318,18.0,17.0,35,17,-35,-18,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,18,35,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4233,10595,AZ5ZYUCAQ0XDL,20,10,0,3,1007,1,2,3,215,565,226,10,2,22,1,2,215,565,226,565,226.0,215,339.0,11.0,350,-350,339,-11,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,350,0,339,2.0,-1.0,1.0,-2.0,0.0,-1.0
4234,10597,A3779AAVHVT6EQ,20,10,0,3,1007,1,3,2,329,347,330,0,3,28,1,2,329,330,347,347,330.0,329,17.0,1.0,18,-1,-17,-18,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,18,17,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4235,10599,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,2,3,325,341,340,10,2,15,1,2,325,341,340,341,340.0,325,1.0,15.0,16,-16,1,-15,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,16,0,1,2.0,-1.0,1.0,-2.0,0.0,-1.0
4236,10600,A3G8OON0TDPN1E,20,10,0,3,1006,3,1,2,334,336,335,10,3,2,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4237,10602,A3779AAVHVT6EQ,20,10,0,3,1007,1,2,3,318,353,335,10,2,29,1,2,318,353,335,353,335.0,318,18.0,17.0,35,-35,18,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,35,0,18,2.0,-1.0,1.0,-2.0,0.0,-1.0
4238,10603,A195R8LWDEDB6K,20,10,0,3,1007,1,3,2,274,368,364,0,1,2,1,1,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4239,10604,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,3,2,318,353,335,0,3,16,1,2,318,335,353,353,335.0,318,18.0,17.0,35,-17,-18,-35,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,35,18,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4240,10605,A3779AAVHVT6EQ,20,10,0,3,1007,3,2,1,215,565,226,10,2,30,1,2,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4241,10607,A1CY01G7686ORZ,20,10,0,3,1007,3,1,2,323,343,340,0,3,16,1,1,340,323,343,343,340.0,323,3.0,17.0,20,17,-20,-3,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,3,20,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4242,10608,A3779AAVHVT6EQ,20,10,0,3,1007,3,1,2,269,378,359,0,3,31,1,1,359,269,378,378,359.0,269,19.0,90.0,109,90,-109,-19,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,19,109,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4243,10609,AHTJJ0KDJ6ZIA,20,10,0,3,1007,1,3,2,274,368,364,0,3,17,1,2,274,364,368,368,364.0,274,4.0,90.0,94,-90,-4,-94,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,94,4,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4244,10610,A195R8LWDEDB6K,20,10,0,3,1007,3,2,1,215,565,226,10,2,3,1,2,226,565,215,565,226.0,215,339.0,11.0,350,-339,350,11,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,339,0,350,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4245,10612,A3779AAVHVT6EQ,20,10,0,3,1006,3,1,2,334,336,335,10,3,32,1,1,335,334,336,336,335.0,334,1.0,1.0,2,1,-2,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,2,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4246,10613,A1CY01G7686ORZ,20,10,0,3,1007,1,3,2,269,378,359,0,3,17,1,2,269,359,378,378,359.0,269,19.0,90.0,109,-90,-19,-109,1.0,3.0,3.0,2.0,2.0,1.0,6,CMP,109,19,0,1.0,1.0,2.0,-2.0,-1.0,0.0
4247,10614,A28TIENUWLMMIP,20,10,0,3,1007,1,2,3,313,365,328,10,1,23,1,1,313,365,328,365,328.0,313,37.0,15.0,52,-52,37,-15,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,52,0,37,2.0,-1.0,1.0,-2.0,0.0,-1.0
4248,10615,AHTJJ0KDJ6ZIA,20,10,0,3,1007,2,1,3,290,409,307,20,2,18,1,1,409,290,307,409,307.0,290,102.0,17.0,119,119,-17,102,2.0,1.0,1.0,3.0,3.0,2.0,2,TRT,0,119,102,-2.0,1.0,-1.0,0.0,-2.0,-1.0
4249,10616,A195R8LWDEDB6K,20,10,0,3,1007,3,2,1,325,341,340,15,3,4,1,1,340,341,325,341,340.0,325,1.0,15.0,16,-1,16,15,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,1,0,16,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4250,10617,A3779AAVHVT6EQ,20,10,0,3,1007,1,2,3,290,409,307,10,1,33,1,1,290,409,307,409,307.0,290,102.0,17.0,119,-119,102,-17,2.0,2.0,3.0,3.0,1.0,1.0,5,CMPLB,119,0,102,2.0,-1.0,1.0,-2.0,0.0,-1.0
4251,10618,A28TIENUWLMMIP,20,10,0,3,1007,3,1,2,275,366,365,10,3,24,1,1,365,275,366,366,365.0,275,1.0,90.0,91,90,-91,-1,1.0,3.0,2.0,1.0,3.0,2.0,4,SLB,1,91,0,-1.0,2.0,1.0,-1.0,-2.0,0.0
4252,10619,AHTJJ0KDJ6ZIA,20,10,0,3,1007,3,2,1,313,365,328,10,2,19,1,2,328,365,313,365,328.0,313,37.0,15.0,52,-37,52,15,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,37,0,52,1.0,-2.0,-1.0,-1.0,0.0,-2.0
4253,10620,A195R8LWDEDB6K,20,10,0,3,1007,3,2,1,322,344,340,10,3,5,1,1,340,344,322,344,340.0,322,4.0,18.0,22,-4,22,18,3.0,2.0,2.0,1.0,1.0,3.0,3,WLB,4,0,22,1.0,-2.0,-1.0,-1.0,0.0,-2.0
